keep	question_id	topic_sim	orig_type	question	src_gold(참고)	context_head	검수사유
X	natua_yes_no_finance-6794157_k3	0.0694	yes_no	금융 규제로 금융 안정을 이루려는 경우 금융 수요자들을 보호하려는 목표와 부조화를 일으킬 수 있어	Yes	(2) 당사자 간 지속적인 소통과 협력을 통한 정책 마련 □ 우리나라에서는 현재 당사자들이 첨예하게 대립하고 있고, 정책 당사자의 참여를 통한 지속적인 소통과 협력이 이루어지지 못해 효과적인 정책의 수립·집행이 제한되고 있음 □ 싱가포르의 경우 새로운 규제 프레임워크를 도입하는 과정에 정책 당사자인 운전자, 택시협회, 승차공유차량협회, 사업자, 일반 국민이	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794178_k1	0.069	yes_no	금융 불안정을 방지하기 위해 노르웨이 중앙은행이 지급 결제 시스템와 관련된 리스크를 규제하는 거니	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794178_k2	0.069	yes_no	금융 불안정을 방지하기 위해 노르웨이 중앙은행이 지급 결제 시스템와 관련된 리스크를 규제하는 거니	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7161870_k1	0.0677	yes_no	진출전략을 중국에 대해 수립할 때 여타 서비스업과 연계를 강화하는 방향으로 이루어져야 하니	Yes	□ 시사점 ◦ 우리나라도 싱가포르의 정책 사례를 참고하여 ① 스마트폰 애플리케이션을 활용한 서비스 도입 등 여객운송 산업에서 지금까지 나타난 변화에 대응하고 자율주행자동차의 등장 등 앞으로 다가올 더 큰 변화에 효과적으로 대응할 수 있도록 새로운 여객운송 정책 체계를 마련하고 ② 그 과정에서 정책 당사자의 소통과 협력을 통하여 정책 수립의 효율성 및 신뢰성	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7161870_k2	0.066	yes_no	진출전략을 중국에 대해 수립할 때 여타 서비스업과 연계를 강화하는 방향으로 이루어져야 하니	Yes	□ 지금까지의 변화에 대응하고 자율주행자동차의 등장이나 교통수단 간 연계 강화 등 앞으로 다가올 더 큰 변화를 받아들일 수 있도록, 제공되는 서비스에 기반하여 규제 체계를 개편한 싱가포르의 사례를 참고하여 새로운 여객운송 정책 체계 마련을 검토해볼 필요성이 있음 ○ 특히 대규모 PHCB사업자에 대하여도 해당 영업면허 취득 위무를 부과하는 등 여객운송 산업에	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7161870_k3	0.0649	yes_no	진출전략을 중국에 대해 수립할 때 여타 서비스업과 연계를 강화하는 방향으로 이루어져야 하니	Yes	(2) 공정성과 참여확대 동시 추구 학부모와 교사 등 단위학교 구성원의 참여를 실질적으로 확대시킬 수 있는 방안을 모색할 필요가 있다. 학교 심사위원회가 적임자가 아니라고 판단할 경우는 2단계의 심사대상자로 추천하지 않는 것도 방안이 될 수 있다. 공정성을 강화하기 위한다는 구실로 단위학교의 참여를 크게 제한하는 방식은 설득력이 그리 높지 않다. 교과부가 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6390516_k1	0.0648	yes_no	교장공모제를 시행하는 학교의 경우 후보자는 추천을 통해 모집하고 있어	No	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6390516_k2	0.0648	yes_no	교장공모제를 시행하는 학교의 경우 후보자는 추천을 통해 모집하고 있어	No	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7212461_k1	0.0645	yes_no	고학력 여성이 노동시장에 재진입할 때 비정규직과 정규직의 높지 않은 이동성이 제약이 될 수 있을까	Yes	(2) 공정성과 참여확대 동시 추구 학부모와 교사 등 단위학교 구성원의 참여를 실질적으로 확대시킬 수 있는 방안을 모색할 필요가 있다. 학교 심사위원회가 적임자가 아니라고 판단할 경우는 2단계의 심사대상자로 추천하지 않는 것도 방안이 될 수 있다. 공정성을 강화하기 위한다는 구실로 단위학교의 참여를 크게 제한하는 방식은 설득력이 그리 높지 않다. 교과부가 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7212461_k2	0.0645	yes_no	고학력 여성이 노동시장에 재진입할 때 비정규직과 정규직의 높지 않은 이동성이 제약이 될 수 있을까	Yes	(2) 공정성과 참여확대 동시 추구 학부모와 교사 등 단위학교 구성원의 참여를 실질적으로 확대시킬 수 있는 방안을 모색할 필요가 있다. 학교 심사위원회가 적임자가 아니라고 판단할 경우는 2단계의 심사대상자로 추천하지 않는 것도 방안이 될 수 있다. 공정성을 강화하기 위한다는 구실로 단위학교의 참여를 크게 제한하는 방식은 설득력이 그리 높지 않다. 교과부가 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7021569_k1	0.0633	yes_no	직무태만 등 소극행정을 벌인 사람은 징계 감경 대상자에 해당하지 않지	Yes	(2) 대규모 PHCB사업자 면허 의무화 등 면허 체계 개편 □ 차량과 사업 종류에 따른 기존의 면허 체계를 제공하는 서비스에 따른 새로운 면허 체계로 개편하고, 기존에는 관련 면허 제도가 없어 면허 취득 의무가 없었던 PHCB사업자 중 플랫폼에 등록된 차량이 800대 이상인 대규모 PHCB사업자에게도 해당 영업면허 취득을 의무화함 ○ 기존에는 택시운영사업	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7476330_k1	0.0633	yes_no	금융 감독당국이 금융업무에 관한 규정을 위반했을 때 인허가를 철회할 수도 있니	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7476330_k2	0.0633	yes_no	금융 감독당국이 금융업무에 관한 규정을 위반했을 때 인허가를 철회할 수도 있니	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6795873_k1	0.063	yes_no	생산의 범주에는 가계의 자가소비를 목적으로 하는 가사 활동이 포함되어 있어	No	(3) 태국은행법은 금융제도의 안정과 지급시스템 안정을 통화안정과 함께 태국은행의 목적으로 명시하고, 지급시스템의 설치 및 설치의 지원, 금융기관 감독 및 검사, 환율 및 외환준비금 관리 등의 업무를 수행할 수 있음을 규정하고 있다. 태국은행법 제7조 : 태국은행의 목적은 통화안정, 금융제도의 안정 및 지급시스템 안정을 위하여 중앙은행업에 관련 된 업무를 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6795873_k2	0.063	yes_no	생산의 범주에는 가계의 자가소비를 목적으로 하는 가사 활동이 포함되어 있어	No	(3) 태국은행법은 금융제도의 안정과 지급시스템 안정을 통화안정과 함께 태국은행의 목적으로 명시하고, 지급시스템의 설치 및 설치의 지원, 금융기관 감독 및 검사, 환율 및 외환준비금 관리 등의 업무를 수행할 수 있음을 규정하고 있다. 태국은행법 제7조 : 태국은행의 목적은 통화안정, 금융제도의 안정 및 지급시스템 안정을 위하여 중앙은행업에 관련 된 업무를 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794168_k1	0.062	yes_no	중앙은행이 정부의 은행으로 자리 매김할 수 있도록 한 것은 은행권 발행 업무야	Yes	□ 시사점 ◦ 우리나라도 싱가포르의 정책 사례를 참고하여 ① 스마트폰 애플리케이션을 활용한 서비스 도입 등 여객운송 산업에서 지금까지 나타난 변화에 대응하고 자율주행자동차의 등장 등 앞으로 다가올 더 큰 변화에 효과적으로 대응할 수 있도록 새로운 여객운송 정책 체계를 마련하고 ② 그 과정에서 정책 당사자의 소통과 협력을 통하여 정책 수립의 효율성 및 신뢰성	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7212498_k1	0.062	yes_no	보육료를 지원하는 것이 여성의 고용을 증가시키는 것에 이바지하고 있니	Yes	(2) 영란은행법은 통화정책과 관련하여 영란은행의 목적은 물가안정 유지 및 정부의 경제정책 지원이라고 규정하면서 별도로 금융시스템의 안정성을 유지하고 제고하는데 기여하는 것이 영란은행의 목적이라고 명시하고 있다. 또한 금융안정 목적을 위하여 재무부 및 금융감독당국과 협력하여야 함을 규정하고 있다. 영란은행법 제2조A(금융안정목적) : (1) 영란은행의 목적	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7212498_k2	0.062	yes_no	보육료를 지원하는 것이 여성의 고용을 증가시키는 것에 이바지하고 있니	Yes	(2) 영란은행법은 통화정책과 관련하여 영란은행의 목적은 물가안정 유지 및 정부의 경제정책 지원이라고 규정하면서 별도로 금융시스템의 안정성을 유지하고 제고하는데 기여하는 것이 영란은행의 목적이라고 명시하고 있다. 또한 금융안정 목적을 위하여 재무부 및 금융감독당국과 협력하여야 함을 규정하고 있다. 영란은행법 제2조A(금융안정목적) : (1) 영란은행의 목적	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7212498_k3	0.0602	yes_no	보육료를 지원하는 것이 여성의 고용을 증가시키는 것에 이바지하고 있니	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794162_k1	0.0599	yes_no	양해각서에 금융 안전에 대한 기관 간 협력 과정이 포함될 필요가 있니	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794162_k2	0.0599	yes_no	양해각서에 금융 안전에 대한 기관 간 협력 과정이 포함될 필요가 있니	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794132_k1	0.0598	yes_no	중국인민은행에서는 중국의 통화정책을 수립하고 집행하는 것을 담당하니	Yes	(2) 당사자 간 지속적인 소통과 협력을 통한 정책 마련 □ 우리나라에서는 현재 당사자들이 첨예하게 대립하고 있고, 정책 당사자의 참여를 통한 지속적인 소통과 협력이 이루어지지 못해 효과적인 정책의 수립·집행이 제한되고 있음 □ 싱가포르의 경우 새로운 규제 프레임워크를 도입하는 과정에 정책 당사자인 운전자, 택시협회, 승차공유차량협회, 사업자, 일반 국민이	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7161947_k3	0.0596	yes_no	계열 기업에게 은행 관련기관이 위험한 자산을 받는 것이 허가되어 있을까	No	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6477456_k1	0.0596	yes_no	국민소득은 통계상으로 확인할 때 추산방법이나 참고자료에 따라 같지 않을 가능성이 있어	Yes	2. 법적으로 요구되는 금융안정 책임 불명확 금융시장에서 금융변수(financial variables)는 성격상 항상 변동하는 것이다. 따라서 어느 정도의 변동이 법적으로 금융불안 또는 금융위기인지가 명확하지 않다. 그리고 일반적으로 수용되는 금융 안정의 측정 방법도 현재 존재하지 않고 있다. 또한 현행법상 한국은행뿐만 아니라 기획재정부, 금융위원회 등이 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6477456_k2	0.0596	yes_no	국민소득은 통계상으로 확인할 때 추산방법이나 참고자료에 따라 같지 않을 가능성이 있어	Yes	2. 법적으로 요구되는 금융안정 책임 불명확 금융시장에서 금융변수(financial variables)는 성격상 항상 변동하는 것이다. 따라서 어느 정도의 변동이 법적으로 금융불안 또는 금융위기인지가 명확하지 않다. 그리고 일반적으로 수용되는 금융 안정의 측정 방법도 현재 존재하지 않고 있다. 또한 현행법상 한국은행뿐만 아니라 기획재정부, 금융위원회 등이 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6390516_k3	0.0591	yes_no	교장공모제를 시행하는 학교의 경우 후보자는 추천을 통해 모집하고 있어	No	(2) 당사자 간 지속적인 소통과 협력을 통한 정책 마련 □ 우리나라에서는 현재 당사자들이 첨예하게 대립하고 있고, 정책 당사자의 참여를 통한 지속적인 소통과 협력이 이루어지지 못해 효과적인 정책의 수립·집행이 제한되고 있음 □ 싱가포르의 경우 새로운 규제 프레임워크를 도입하는 과정에 정책 당사자인 운전자, 택시협회, 승차공유차량협회, 사업자, 일반 국민이	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
O	natua_yes_no_finance-6794141_k1	0.0584	yes_no	일본은행법에 일본은행이 통화와 금융을 조절하는 것을 목표로 하라는 내용이 명시되어 있어	Yes	노인장기요양보험법 시행령 일부개정령(안) 입법예고 1. 개정사유 특별현금급여가 다른 금원과 섞이면서 해당 통장이 압류되는 경우 특별현금급여와 이를 받을 권리가 침해되는 것을 방지해 노인과 그 가족의 생활안정을 도모하려는 것을 목표로 「노인장기요양보험법」이 개정됨(법률 제14321호, 2016.12.2. 개정)에 따라 특별현금급여계좌 신청 방법·절차 및 관리	일본은행법 특정·법령장르·답 부재
X	natua_yes_no_finance-6794141_k2	0.0584	yes_no	일본은행법에 일본은행이 통화와 금융을 조절하는 것을 목표로 하라는 내용이 명시되어 있어	Yes	노인장기요양보험법 시행령 일부개정령(안) 입법예고 1. 개정사유 특별현금급여가 다른 금원과 섞이면서 해당 통장이 압류되는 경우 특별현금급여와 이를 받을 권리가 침해되는 것을 방지해 노인과 그 가족의 생활안정을 도모하려는 것을 목표로 「노인장기요양보험법」이 개정됨(법률 제14321호, 2016.12.2. 개정)에 따라 특별현금급여계좌 신청 방법·절차 및 관리	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7462316_k2	0.058	yes_no	취업 여성의 자녀 양육 부담을 효과적으로 줄일 수 있는 방법은 보육료 지원일까	No	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7462316_k3	0.058	yes_no	취업 여성의 자녀 양육 부담을 효과적으로 줄일 수 있는 방법은 보육료 지원일까	No	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7212403_k3	0.0577	yes_no	비정규직 고용문제를 해결하는 것이 수도권의 안정적인 발달에 무조건적으로 필요할까	Yes	(3) 승객과 운전자의 안전 보장 조치 □ 모든 사업자(면허가 불필요한 소규모 사업자 포함)는 해당 차량 운행에 필요한 직업면허를 갖춘 운전자와 보험에 가입하고 차량 검사에 합격한 차량만을 활용하여 직접 차량을 운행하거나 예약을 중개할 수 있으며, 이를 위반하는 사업자에 대해서는 육상교통청이 운전자들에게 그 사업자를 위하여 운전하는 것을 금지할 수 있음 ○	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7212461_k3	0.0572	yes_no	고학력 여성이 노동시장에 재진입할 때 비정규직과 정규직의 높지 않은 이동성이 제약이 될 수 있을까	Yes	Ⅳ. 보완방안 1. 금융안정에 대한 측정지표 개발, 금융안정 책임에 관한 유관기관과의 MOU체결 및 금융안정협의기구 구성 추진 (1) 금융안정 측정지표 개발 금융안정을 측정하는 신뢰할 수 있는 측정 지표를 개발함으로써 금융안정을 위한 정책 방향 및 법적 책임을 명확하게 설정할 필요가 있다. 즉 금융 안정 측정지표를 개발하여 목표 인플레이션을 정하고 이를 달	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7713477_k1	0.0566	yes_no	친척이 자녀를 양육할 때 보육료 지원을 받을 수 있을까	No	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7713477_k2	0.0566	yes_no	친척이 자녀를 양육할 때 보육료 지원을 받을 수 있을까	No	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
