keep	question_id	topic_sim	orig_type	question	src_gold(참고: 이 답이 지문에 없어야 함)	context_head	검수사유
X	natua_numeric_reasoning_numeric-cb037960-3de8-4d92-8265-080297381e1b	0.0754	numeric_reasoning	5월 고위 공직자 재산 수시 공개 자료에 따르면 강민석 청와대 대변인의 예금 재산 중에서 본인과 배우자 중 더 많은 예금을 보유한 사람은 누구인가?	배우자	모아저축은행은 4000만원대 보이스피싱 사고를 예방해 지난 19일 인천 미추홀 경찰서로부터 감사장을 받았다고 이날 밝혔다. 모아저축은행에 따르면 지난 11일 현장 지점에서 근무 중이던 주임직원이 4000만원 상당의 정기예금을 해지해 전액 현금으로 지급해달라는 60대 고객의 요청을 저지했다. 해당 직원은 고객이 고액현금 출금을 요청하면서 일부 항목 작성 시 	분야 상이
O	natua_text_span_finance-7189738	0.0753	text_span	연안관리법에 마련되는 법적 기반에 따라 국가는 전문기관에 무엇을 위탁할 수 있게 돼	연안기본조사	가맹사업 진흥에 관한 법률 시행령 일부개정령(안) 입법예고 1. 개정이유 가맹사업 진흥에 관한 법률이 개정됨에 따라 그 후속조치로 대통령령에서 정하고 있는 가맹사업 실태조사 주기를 법과 동일하게 2년으로 변경하고, 법에서 신설된 가맹사업 해외진출 지원 정보체계 구축과 관련해 법에서 대통령령으로 위임한 사항을 규정하고, 정보체계 구축운영에 관한 업무를 위탁할	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
O	natua_numeric_reasoning_numeric-1a263728-70d4-49bb-9d3b-0633641a5bc7	0.0742	numeric_reasoning	1일 일본의 수출 규제 2년을 계기로 소부장 경쟁력 강화 2년 성과를 발표한 기관은 어디인가?	산업통상자원부	한일 무역 갈등의 여파 속에 일본이 지난달 우리나라와의 무역에서 벌어들인 돈이 전년 같은 기간에 비해 25% 넘게 줄어든 것으로 나타났습니다. 일본 재무성이 오늘 발표한 9월 무역통계에 따르면 지난달 우리나라에 대한 수출은 4천 27억 엔으로 지난해 같은 기간보다 15.9% 줄었습니다. 반면, 수입은 8.9% 감소한 2천 513억 엔을 기록해, 무역수지 흑	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_numeric_reasoning_numeric-8a9ba6f4-b3f6-4868-9c38-0f07ba3a195f	0.0733	numeric_reasoning	7월이 아직 절반밖에 지나지 않은 시점에서 상위 30개 종목 중 ETF에 이달에만 몰린 국내투자자들의 순매수 금액은 지난달 수준보다 몇 달러가 많은가?	13010000달러($)	이는 최근 심해진 구직난에 희망하는 연봉 수준보다 낮은 연봉을 받더라도 우선 입사해 경력을 쌓고, 이직 시 몸값을 올리는 것이 낫다고 판단하는 구직자들이 많기 때문인 것으로 풀이된다. 그렇다면, 구직자들이 꿈꾸는 '꿈의 연봉'은 얼마일까. 일생 중 연봉이 가장 많을 때를 기준으로, 받고 싶은 금액은 평균 9549만 원으로 조사됐다. 이 역시 남성(1억134	분야 상이
X	natua_text_span_finance-7189737	0.0731	text_span	변경되는 연안관리법에 갖춰지는 법률적 근거로 인해 전문기관이 국가로부터 수탁할 수 있게 되는 건 뭐야	연안기본조사	가맹사업 진흥에 관한 법률 시행령 일부개정령(안) 입법예고 1. 개정이유 가맹사업 진흥에 관한 법률이 개정됨에 따라 그 후속조치로 대통령령에서 정하고 있는 가맹사업 실태조사 주기를 법과 동일하게 2년으로 변경하고, 법에서 신설된 가맹사업 해외진출 지원 정보체계 구축과 관련해 법에서 대통령령으로 위임한 사항을 규정하고, 정보체계 구축운영에 관한 업무를 위탁할	중복 질문 — 대표 1건 유지
X	natua_text_span_finance-6380337	0.07	text_span	영국의 경우 어디에서 해외에 있는 현충시설의 관리를 담당하고 있어	영연방전쟁묘지위원회	(2) 개발대상도서의 지원 범위 확대 지속가능한 도서지역의 관리를 위해 개발대상도서의 범위를 확대하는 방안이다. 현행 「도서개발 촉진법」과 동 법 시행령에 따라 도서가 육지와 연결되어 10년이 지났을 경우에 정부지원에서 제외하고 있으나, 연륙 이후 10년이 경과해도 여전히 지방재정과 개발수준이 열악한 도서가 많아서 규제완화 방안이 요구된다. 또한 도서인구가	주제 접점 부족
O	natua_numeric_reasoning_numeric-57936ceb-ef0d-4396-81d2-51f8f974ba2f	0.0699	numeric_reasoning	6일 증시에 상장한 카카오뱅크에 외국인과 기관 투자자가 10 거래일 동안 카카오뱅크를 매수한 총금액은 얼마인가?	800600000000원	대덕전자 주가가 상승 중이다. 25일 한국거래소에 따르면 대덕전자는 이날 오전 10시 24분 기준 전 거래일 대비 2050원 (8.93%) 오른 2만5000원에 거래 중이다. 지난 23일 대덕전자는 지난해 연결기준 영업이익이 718억6713만원으로 전년 동기 대비 2580.5% 증가했다고 공시했다. 같은 기간 매출액은 1조9억2809만원으로 61.3% 늘어	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_text_span_finance-6817438	0.0699	text_span	어떤 방식으로 경제 주체가 규칙을 위반했을 경우 처벌 받는 정도를 예측할 수 있어	경제 관련 법령에서 금지 조항과 처벌 조항의 관계를 정비	경찰공무원 승진임용 규정 시행규칙 일부개정령(안) 입법예고 1. 개정이유 자치경찰제 시행(’21. 1. 1.)으로 자치경찰사무 담당 경찰공무원에 대한 임용권이 시·도지사, 시·도자치경찰위원회, 시·도경찰청장에게 위임됨. 시·도지사, 시·도경찰청장이 표창을 수여할 경우 상점을 3점으로 규정하고 있으나, 시·도자치경찰위원회에 대해서는 규정되어 있지 않으므로, 	분야 상이
X	natua_numeric_reasoning_numeric-8060868c-4246-4bb2-83ea-44c502b5fb41	0.0678	numeric_reasoning	한국경제연구원의 '코로나19 이후 근로형태 및 노동환경 전망'조사에서, 유연근무제 시행이 매우 긍정적과 부정적 중 응답 비율이 더 높은 대답은 무엇인가?	매우 긍정적	일본의 수출 규제로 한일 갈등이 불거진 이후 기업의 체감 경기와 다음 달 전망이 동반 하락한 것으로 나타났습니다. 한국은행은 이번 달 전체 산업의 기업경기실사지수, BSI가 한 달 전보다 1포인트 하락한 73으로 집계됐다고 밝혔습니다. BSI는 기업 체감 경기 지표로 기준치인 100보다 낮으면 부정적 인식이 많다는 의미입니다. 제조업과 비제조업 모두 한 달	분야 상이
X	natua_numeric_reasoning_numeric-50a47ab0-62df-405d-9a37-3ef155b3b762	0.067	numeric_reasoning	한국예탁결제원에 따르면 올해 상반기 주식매수 청구대금이 두 번째로 많았던 곳은 어디인가?	원익아이피에스	대덕전자 주가가 상승 중이다. 25일 한국거래소에 따르면 대덕전자는 이날 오전 10시 24분 기준 전 거래일 대비 2050원 (8.93%) 오른 2만5000원에 거래 중이다. 지난 23일 대덕전자는 지난해 연결기준 영업이익이 718억6713만원으로 전년 동기 대비 2580.5% 증가했다고 공시했다. 같은 기간 매출액은 1조9억2809만원으로 61.3% 늘어	분야 상이
X	natua_text_span_finance-7014626	0.067	text_span	누구의 허락이 있어야 국적 선택 기간이 경과되었을 때에도 국적 이탈을 할 수 있어	법무부장관	(2) 영화 VOD 시장 성장의 의미 VOD 등 영화 부가시장의 성장은 제작·배급·상영 등 영화산업 가치사슬의 각 단계에 상당한 파급효과를 가져올 것으로 기대된다. 먼저, 부가시장의 수익은 영화 선진국에 비해 낮은 제작비로 고품질의 영화를 제작하고 있는 국내 영화제작업의 실정을 감안하면, 우수 제작인력의 이탈을 방지하고 흑자 기조를 유지하면서 집행할 수 있	분야 상이
X	natua_numeric_reasoning_numeric-b4ef8adf-49da-4ea7-ada8-38d666f8886a	0.0669	numeric_reasoning	이 날 코스피 시장에서 6%이상 하락한 종목은 무엇인가?	삼성바이오로직스	코스피가 6일 상승세로 출발해 장중 2160선을 넘었다. 이날 오전 9시 13분 현재 코스피 지수는 전 거래일보다 12.16포인트(0.56%) 오른 2164.57를 가리켰다. 지수는 전장보다 6.54포인트(0.30%) 오른 2158.95로 출발해 상승세를 유지하고 있다. 유가증권시장에서 개인과 기관이 각각 1066억원, 461억원어치 주식을 사들이고 있다.	표면어/지시어 함정
X	natua_text_span_finance-7016568	0.0669	text_span	산림청과 그 소속기관 직제 시행규칙 변경에 따라 지방산림청 운전직렬 직원이 이동하게 된 직군은 뭐야	행정·임업직렬	지진·화산재해대책법 시행규칙 일부개정령(안) 입법예고 1. 개정이유 「지진·화산재해대책법」이 개정됨에 따라 시행규칙상 지진재해의 예방·대비 업무주체를 변경하려는 것임 2. 주요내용 ○ 주민대피지구의 지정 및 해제 등 이 규칙에서 규정하고 있는 지진ㆍ화산으로 인한 재해의 예방ㆍ대비 관련 업무의 주체를 중앙재난안전대책본부의 본부장 또는 지역재난안전대책본부의 본	중복 질문 — 대표 1건 유지
X	natua_yes_no_finance-6390533	0.0667	yes_no	구성원들한테 교장공모제를 도입할지에 대한 선택권을 제공하는 건 정책의 의도인 학교자율화와 맞지 않아	No	(2) 대규모 PHCB사업자 면허 의무화 등 면허 체계 개편 □ 차량과 사업 종류에 따른 기존의 면허 체계를 제공하는 서비스에 따른 새로운 면허 체계로 개편하고, 기존에는 관련 면허 제도가 없어 면허 취득 의무가 없었던 PHCB사업자 중 플랫폼에 등록된 차량이 800대 이상인 대규모 PHCB사업자에게도 해당 영업면허 취득을 의무화함 ○ 기존에는 택시운영사업	분야 상이
X	natua_numeric_reasoning_numeric-676cff7b-8765-4a30-81cc-65d0f083b16d	0.0665	numeric_reasoning	10일 미국 하원에서 코로나19 확산에 대처하는 경기부양안 투표에서 찬성한 의원은 반대한 의원 대비 몇 퍼센트인가?	104.27%	지난해 코로나19 사태에 따른 교역 위축에도 중국의 한국제품 수입은 거의 타격이 없었던 것으로 나타났다. 국내 수출을 견인하는 반도체를 비롯해 화장품, 마스크, 의류 등 소비재의 대(對) 한국 수입이 호조를 보이며 전체 감소율을 일부 방어한 결과로 풀이된다. 14일 코트라(KOTRA)에 따르면 지난해 중국의 대한국 수입액은 1735억달러로 전년 대비 0.0	분야 상이
X	natua_yes_no_finance-7020359	0.0655	yes_no	소액인 경우 불복청구 심의절차를 쉽게 변경할 수 있는 건 납세자의 권익을 높여주려는 거지	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이
X	natua_numeric_reasoning_numeric-608c9b4c-b8d5-4908-8d4a-f07cd0baf53e	0.0652	numeric_reasoning	대치동 래미안대치팰리스 1단지 전용면적 84㎡의 지난 10일 거래가는 지난달 27일 거래가 대비 몇 %인가?	101.96%	대덕전자 주가가 상승 중이다. 25일 한국거래소에 따르면 대덕전자는 이날 오전 10시 24분 기준 전 거래일 대비 2050원 (8.93%) 오른 2만5000원에 거래 중이다. 지난 23일 대덕전자는 지난해 연결기준 영업이익이 718억6713만원으로 전년 동기 대비 2580.5% 증가했다고 공시했다. 같은 기간 매출액은 1조9억2809만원으로 61.3% 늘어	분야 상이
X	natua_text_span_finance-6380188	0.0652	text_span	영화를 배급하는 방식이 다양해짐에 따라 영화와 관련된 어떤 사업에 대한 정의가 추가로 필요해	온라인영화서비스업	(2) 개발대상도서의 지원 범위 확대 지속가능한 도서지역의 관리를 위해 개발대상도서의 범위를 확대하는 방안이다. 현행 「도서개발 촉진법」과 동 법 시행령에 따라 도서가 육지와 연결되어 10년이 지났을 경우에 정부지원에서 제외하고 있으나, 연륙 이후 10년이 경과해도 여전히 지방재정과 개발수준이 열악한 도서가 많아서 규제완화 방안이 요구된다. 또한 도서인구가	중복 질문 — 대표 1건 유지
X	natua_yes_no_finance-6794172	0.0652	yes_no	금융 시스템의 인프라와 연관된 안전성에 대한 조언을 영란은행은 재무부 장관을 통해 받고 있지	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이
O	natua_numeric_reasoning_numeric-e4c0fc02-df78-45d6-ab7f-a6996a091aba	0.0651	numeric_reasoning	2021년 회계연도에 쿡 CEO는 주식보상과 성과급을 합하여 애플로부터 총 얼마의 보수를 얻었는가?	94300000달러($)	이재현 CJ그룹 회장이 지난해 그룹의 대표 기업인 CJ제일제당에서 28억여원의 보수를 받은 것으로 나타났다. CJ제일제당은 18일 사업보고서를 통해 이 회장이 지난해 26억9200만원의 급여와 1억800만원의 상여를 받았다고 공시했다. CJ제일제당은 "이사회 승인을 받은 임원 규칙에 따라 역할 책임의 크기, 회사 기여도 등을 종합적으로 고려했다"고 설명했다	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_numeric_reasoning_numeric-41e4476f-22eb-49e7-a19f-5e27b4d96177	0.0638	numeric_reasoning	국내 대기업 전체 오너 일가 중 겸직 수가 가장 많은 경우는 최승석 SM그룹 부회장과 이중근 부영 회장 중 누가 더 많은가?	최승석 SM그룹 부회장	일본의 수출 규제로 한일 갈등이 불거진 이후 기업의 체감 경기와 다음 달 전망이 동반 하락한 것으로 나타났습니다. 한국은행은 이번 달 전체 산업의 기업경기실사지수, BSI가 한 달 전보다 1포인트 하락한 73으로 집계됐다고 밝혔습니다. BSI는 기업 체감 경기 지표로 기준치인 100보다 낮으면 부정적 인식이 많다는 의미입니다. 제조업과 비제조업 모두 한 달	분야 상이
X	natua_numeric_reasoning_numeric-c8fc4874-a4d6-49c5-96f6-7292b357f93c	0.0633	numeric_reasoning	국토교통부 실거래가 기준으로 '세종 더샵 센트럴시티'의 2019년 4월 거래가는 2016년 4월 거래가에 비해 얼마나 상승했는가?	정부세종청사가 위치한 어진동에 들어선 '세종 더샵 센트럴시티' 전용 84㎡가 국토교통부 실거래가 기준 201	대덕전자 주가가 상승 중이다. 25일 한국거래소에 따르면 대덕전자는 이날 오전 10시 24분 기준 전 거래일 대비 2050원 (8.93%) 오른 2만5000원에 거래 중이다. 지난 23일 대덕전자는 지난해 연결기준 영업이익이 718억6713만원으로 전년 동기 대비 2580.5% 증가했다고 공시했다. 같은 기간 매출액은 1조9억2809만원으로 61.3% 늘어	중복 질문 — 대표 1건 유지
X	natua_numeric_reasoning_numeric-c931c449-d18f-4c0b-bee6-5e9abe112fce	0.0633	numeric_reasoning	국토교통부 실거래가 기준으로 '세종 더샵 센트럴시티'의 2019년 4월 거래가는 2016년 4월 거래가에 비해 얼마나 상승했는가?	247000000원	대덕전자 주가가 상승 중이다. 25일 한국거래소에 따르면 대덕전자는 이날 오전 10시 24분 기준 전 거래일 대비 2050원 (8.93%) 오른 2만5000원에 거래 중이다. 지난 23일 대덕전자는 지난해 연결기준 영업이익이 718억6713만원으로 전년 동기 대비 2580.5% 증가했다고 공시했다. 같은 기간 매출액은 1조9억2809만원으로 61.3% 늘어	중복 질문 — 대표 1건 유지
O	natua_numeric_reasoning_numeric-3c9157a2-11c3-4b67-8f6c-630a031eda3e	0.0632	numeric_reasoning	2012년 대한시멘트 인수를 시작으로 2016년 쌍용양회까지 손에 거머쥐면서 자산규모 3조 5,000억 원에 육박하는 시멘트 회사는 어디인가?	한앤컴퍼니	카카오뱅크(323410)가 현대차를 누르고 코스피 시가총액 9위 기업의 자리를 꿰찼다. 20일 한국거래소에 따르면 오전 9시 50분 기준 카카오뱅크는 전거래일 대비 1.30% 오른 9만 3,200원에 거래되고 있다. 시가총액은 44조 2,793억 원으로 불어 현대차(43조 9,088억원)를 제치고 코스피 시가총액 상위 9위 자리로 올라섰다. 현대차는 전거래	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_text_span_finance-7187841	0.0623	text_span	각 시장 및 시도지사와 더불어 지진, 화산 재해 예비 업무의 주체가 되는 부처의 장은 누구야	행정안전부장관	4. 향후 과제 (1) 영화 및 영화산업 정의의 확장 영화 부가시장의 패러다임 변화에 발맞추어 관련 법률의 ‘영화’ 및 ‘영화산업’의 정의에 대한 재검토가 필요하다. 현행 「영화 및 비디오물의 진흥에 관한 법률」의 ‘영화’의 정의는 영화의 온라인 유통 현상을 포섭하고 있지 않고, 유통 플랫폼을 영화상영관 등의 장소로 한정하고 있기 때문에, 이에 대한 보완이	분야 상이
O	natua_yes_no_finance-6477455	0.0623	yes_no	추계방법이나 이용자료의 차이로 국민소득은 통계상으로 볼 때 일치하지 않을 수도 있어	Yes	□ 경기도 청년층의 경제활동참가율은 44.6%, 고용율은 41.3%로서 전국 평균(43.2%, 39.7%)보다는 다소 높은 수준임 ○ 2013년 현재 경기도 전체 경제활동인구는 6,172천명이며 고용률은 60.0%를 기록 – 30대에서 50대까지 중장년층의 고용률은 모두 70%를 상회하여 청년층 고용률과 큰 차이를 나타냄 ○ 청년층을 제외한 30대 이상이 	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_text_span_finance-7450860	0.0615	text_span	어느 나라에서 스마트그리드의 중심 기술로 발전기 제어기술을 지목해 논의하고 있어	미국 등	5. 나가며 당초 정부는 여성인력 증가에 따른 일과 삶의 균형을 통한 생산성 제고, 긴 노동시간 대비 낮은 생산성을 해결하기 위한 근무방식 선진화 등을 위해 공공부문에서 선제적으로 스마트워크센터를 도입하고 이를 민간부문으로 확산하고자 하였다. 이와 관련하여 현재 국회에는 공공부문뿐만 아니라 민간부문에서의 스마트워크센터 활용을 촉진하기 위한 「스마트워크 촉진	표면어/지시어 함정
O	natua_numeric_reasoning_numeric-b3e7ea45-bd2e-4e51-98df-596bfb6fe009	0.0612	numeric_reasoning	올 들어 서울 아파트의 평균 청약 경쟁률이 99.3대1로 집계되었다고 15일 발표한 부동산정보업체는 어디인가?	부동산114	수도권에 지식산업센터 분양 바람이 불고 있다. 서울 도심 오피스 못지않은 시설과 세금 감면 등 서울 도심의 치솟는 임대료에 비해 상대적으로 저렴하게 사옥 마련이 가능해서다. 한국감정원 통계에 따르면 서울의 지난해 4분기 오피스(3층부터 최고층까지 평균) ㎡당 평균 임대료는 2만2400원이었다. 반면 경기도의 ㎡당 평균 임대료는 1만2400원으로 서울에 비해	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_yes_no_finance-7212497	0.0602	yes_no	여성의 고용을 늘리는 데 보육료를 지원하는 것이 효과를 보고 있을까	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이
X	natua_numeric_reasoning_numeric-ddc3a173-d37f-4152-8a27-a32f19eae36f	0.06	numeric_reasoning	지난 일주일 동안 NCT 127의 국가별 유튜브 조회수가 전제 조회수의 20% 이상을 차지하는 나라는 어디인가?	인도네시아	코로나19 여파에도 개별소비세와 신차 효과로 수입차의 국내 질주는 계속됐다. 미국 전기차 업체 테슬라는 국내 시장에 진출한 이래로 역대 최고 실적을 기록했다. 3일 테슬라코리아에 따르면 테슬라의 6월 신차 등록대수는 2827대로, 전달보다 무려 1천497% 증가했다. 모델3가 테슬라 실적을 견인했다. 카이즈유 데이터 연구소 자료에 따르면 모델3는 2812대	분야 상이
X	natua_yes_no_finance-7212484	0.0599	yes_no	보육료 지원이 여성의 고용을 발전시킬 수 있는 효율적인 방법일까	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이
X	natua_text_span_finance-7180727	0.0593	text_span	식품이 안전한지 알아보기 위해 대면할 수 없는 상황을 고려하여 비대면 조사에 도입하려는 것은 뭐야	원격화상통신	5. 나가며 당초 정부는 여성인력 증가에 따른 일과 삶의 균형을 통한 생산성 제고, 긴 노동시간 대비 낮은 생산성을 해결하기 위한 근무방식 선진화 등을 위해 공공부문에서 선제적으로 스마트워크센터를 도입하고 이를 민간부문으로 확산하고자 하였다. 이와 관련하여 현재 국회에는 공공부문뿐만 아니라 민간부문에서의 스마트워크센터 활용을 촉진하기 위한 「스마트워크 촉진	분야 상이
